tags,elapsed_s,start_unix,end_unix
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-7874.zip']",58.60,1713122745.21,1713122803.82
"['initialize-parser', '80a72812-f928-46c3-a18c-5063dac37cdb']",0.00,1713122805.37,1713122805.37
"['parser-parse', 'c931a93f-9cac-4ab3-9535-ad23ccb50112']",56.43,1713122747.66,1713122804.09
"['write-jsonl', 'c931a93f-9cac-4ab3-9535-ad23ccb50112']",0.00,1713122804.09,1713122804.09
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-784.zip']",56.43,1713122747.66,1713122804.09
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-784.zip']",57.52,1713122746.57,1713122804.09
"['initialize-parser', '6a697d38-b409-492b-b39a-09868640c5d4']",0.00,1713122805.57,1713122805.57
"['parser-parse', 'c2898bde-1513-4f73-94ac-4bb44089c220']",57.07,1713122747.01,1713122804.08
"['write-jsonl', 'c2898bde-1513-4f73-94ac-4bb44089c220']",0.00,1713122804.08,1713122804.08
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-5217.zip']",57.07,1713122747.01,1713122804.08
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-5217.zip']",58.65,1713122745.44,1713122804.09
"['initialize-parser', 'dfae82ae-a31e-4b74-a896-9d99fcd475cb']",0.00,1713122805.59,1713122805.59
"['parser-parse', 'f7b9f52d-e180-4e1e-b8a3-9c1a531491dd']",56.54,1713122747.66,1713122804.20
"['write-jsonl', 'f7b9f52d-e180-4e1e-b8a3-9c1a531491dd']",0.00,1713122804.20,1713122804.20
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-30496.zip']",56.54,1713122747.66,1713122804.20
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-30496.zip']",57.64,1713122746.57,1713122804.20
"['initialize-parser', 'a18257a9-c127-4d22-9244-f8a5f8ed0566']",0.00,1713122805.73,1713122805.73
"['parser-parse', '083d69ce-ff6f-4c17-b1fb-644de6d76137']",56.78,1713122747.46,1713122804.24
